drillhole_id,longitude,latitude,year,start_date,locality,company,licence,altitude
GLA 06-25,-50.984832,71.112787,2006,2006-06-01,Black Angel - Glacier Zone,Angus & Ross Plc.,2005/05,599.0
KRI D046,-45.8358,60.864858,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,434.43
MQ-18-158,-51.564606,65.363791,2018,2018-06-15,Fossilik II P-058,North American Nickel Inc.,2011/54,546.06
CAS 007,-63.510983,80.240303,2011,2011-08-26,Cass Fjord - West Showing,Ironbark Zinc Limited,2007/33,345.0
KVA PT001,-45.873081,60.948364,2011,2011-01-01,"Ilimausaq, Port area",Greenland Minerals and Energy Ltd.,2010/02,30.0
KVA M020B,-45.991436,60.979366,2011,2011-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2010/02,640.0
GL-07-48,-50.316306,63.012949,2007,2007-01-01,Aappaluttoq - Ridgetop,True north Gems,2006/01,248.0
GLA 07-45,-50.980681,71.112141,2007,2007-06-01,Black Angel - Glacier Zone,Angus & Ross Plc.,2005/05,560.0
KP-05-08,-24.088322,72.033591,2005,2005-08-15,Malmbjerg,Knight Piésold Ltd.,2004/17,366.0
NAL B030,-44.841273,60.356544,2006,2006-01-01,Nalunaq,Crew Gold Corporation,2002/03,341.96
SAR 09-06,-51.338434,66.523109,2009,2009-09-17,Sarfartoq - ST1,Hudson Resources Inc.,2002/06,625.0
GLA 07-66,-50.98201,71.11146,2007,2007-06-01,Black Angel - Glacier Zone,Angus & Ross Plc.,2005/05,544.0
L210-09-23,-45.05035,60.22183,2009,2009-06-21,Lake 210 Delta,NunaMinerals A/S,2006/10,218.0
ECP095,-45.871588,60.866714,2007,2007-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,17.14
SKA 04-32,-31.71481,68.16522,2004,2004-08-30,Skaergaard,Skaergaard Minerals Corp.,2000/10,85.27
SEQ-07,-51.549999,64.988009,2003,2003-09-06,Seqi,Crew Gold Corporation,2003/02,63.34
87055,-37.702391,65.575907,2005,2005-08-02,Ammassalik,Inco Technical Services Ltd.,2003/14,168.0
NAL 17-11,-44.834213,60.35489,2017,2017-01-01,Nalunaq,AEX Gold Inc.,2003/05,305.0
SAR 12-17,-51.339032,66.522453,2012,2012-06-09,Sarfartoq - ST-1 south,Hudson Resources Inc.,2010/40,543.0
KVA 140,-45.987943,60.976322,2008,2008-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,682.45
ISU 09-03,-49.759217,65.207352,2009,2009-07-05,Isua (Isukasia),London Mining Plc.,2009/16,1167.12
SAR 11-54,-51.330171,66.525651,2011,2011-08-06,Sarfartoq - ST-1,Hudson Resources Inc.,2010/40,603.37
CF10-236,-28.176108,83.07605,2010,2010-01-01,Citronen Fjord - Discovery Zone,Ironbark Zinc Limited,2007/02,114.55
G09,-51.274929,66.679866,2001,2001-09-01,Umiiviit,Citation Resources Inc.,18/97,
KVA 118,-45.995964,60.971126,2007,2007-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,610.23
STQ 05-01,-51.084279,64.412541,2005,2005-07-22,Storø - Qingaaq,NunaMinerals A/S,2002/07,555.0
STQ 05-07,-51.083012,64.411903,2005,2005-08-03,Storø - Qingaaq,NunaMinerals A/S,2002/07,567.0
GL-08-59,-50.318899,63.011032,2008,2008-01-01,Aappaluttoq,True north Gems,2006/01,231.6
STQ 05-05,-51.083172,64.412685,2005,2005-07-30,Storø - Qingaaq,NunaMinerals A/S,2002/07,530.0
QOR-09-46,-45.16306,60.57904,2009,2009-07-30,Qoorormiut Delta,NunaMinerals A/S,2006/10,6.0
SAR 11-70,-51.336401,66.520715,2011,2011-08-25,Sarfartoq - ST-1,Hudson Resources Inc.,2010/40,626.2
MQ-18-162,-51.498776,65.327558,2018,2018-07-02,P-008,North American Nickel Inc.,2012/28,680.62
NAL 450-24,-44.842417,60.357977,2004,2004-01-01,Nalunaq,Crew Gold Corporation,2002/03,460.32
CAS 008,-63.518843,80.239037,2011,2011-08-28,Cass Fjord - West Showing,Ironbark Zinc Limited,2007/33,330.0
IQ13-001,-52.019585,66.827242,2013,2013-06-26,Ikertoq,Northern Shield Resources Inc.,2010/17,455.23
NAL 06-164,-44.851738,60.357199,2006,2006-01-01,Nalunaq,Crew Gold Corporation,2002/03,938.76
