longitude,latitude,year,locality
-44.848528,60.35953,2005,Nalunaq
-45.8696,60.865991,2007,"Ilimausaq, Kringlerne"
-45.17056,60.5787,2009,Qoorormiut Delta
-28.233783,83.079435,2010,Citronen Fjord - XX
-50.983753,71.111863,2006,Black Angel - Glacier Zone
-45.835956,60.867335,2010,"Ilimausaq, Kringlerne"
-24.269657,71.958549,2007,Malmbjerg
-51.294552,71.105777,2016,Nunngarut Prospect
-44.846552,60.357509,2006,Nalunaq
-52.031023,65.100716,2016,P-053
-47.438171,60.96347,2012,Isortoq South
-51.483757,65.43599,2014,Imiak Hill
-51.059427,71.10383,2006,Black Angel - Myers East
-28.313502,83.08658,2008,Citronen Fjord - Beach Zone
-45.98663,60.979379,2008,"Ilimausaq, Kvanefjeld"
-51.342435,65.458067,2015,P-042
-52.033118,65.100439,2016,P-053
-45.83649,60.865186,2010,"Ilimausaq, Kringlerne"
-28.304563,83.098432,2010,Citronen Fjord - Beach Zone
-51.12211,64.66908,2008,Qussuk - Plateau
-51.234959,66.656795,2005,Uniiviit - Smile Lake
-44.847255,60.359036,2008,Nalunaq
-50.320011,63.010804,2007,Aappaluttoq
-51.092669,64.410636,2007,Storø - Qingaaq
-44.849719,60.35731,2008,Nalunaq
-51.67455,65.37973,2011,Qeqertaasaq
-44.844866,60.35955,2007,Nalunaq
-51.331936,66.523356,2011,Sarfartoq - ST-1
-44.831766,60.354227,2005,Nalunaq
-52.92456,69.6429,2013,Disko
-51.452938,65.437939,2014,Spotty Hill
-45.994185,60.977281,2008,"Ilimausaq, Kvanefjeld"
-51.558374,65.357467,2017,Fossilik II P-058
-47.434894,60.964532,2012,Isortoq South
-51.283821,66.531472,2011,Sarfartoq - ST 40 west
-45.870985,60.866601,2007,"Ilimausaq, Kringlerne"
-52.109151,66.572863,2012,White Mountain (Qaqortorssuaq)
-44.834019,60.352091,2006,Nalunaq
-44.838297,60.35307,2001,Nalunaq
-51.234002,66.658412,2005,Uniiviit - Smile Lake
-51.730802,65.647629,2014,Pingo P-157
-51.087769,64.412923,2005,Storø - Qingaaq
-46.004126,60.96751,2010,"Ilimausaq, Kvanefjeld"
-46.001905,60.975157,2008,"Ilimausaq, Kvanefjeld"
-50.320143,63.011065,2007,Aappaluttoq
-50.980681,71.112141,2006,Black Angel - Glacier Zone
-51.485197,65.446593,2017,Ginger & Catfish
-51.560577,65.358351,2015,Fossilik II P-058
-28.366343,83.09714,2010,Citronen Fjord - Beach Zone
-45.996767,60.975816,2007,"Ilimausaq, Kvanefjeld"
-49.756841,65.205272,2010,Isua (Isukasia)
-24.268032,71.954914,2005,Malmbjerg South Adit
-50.320251,63.010643,2007,Aappaluttoq
-45.872037,60.866846,2007,"Ilimausaq, Kringlerne"
-50.319541,63.011457,2008,Aappaluttoq
-45.991436,60.979366,2011,"Ilimausaq, Kvanefjeld"
-68.823496,76.289123,2012,Havik East
-51.552839,65.360849,2014,Fossilik II P-004
-45.983899,60.978359,2008,"Ilimausaq, Kvanefjeld"
-50.320392,63.010554,2007,Aappaluttoq
-51.09916,64.80739,2009,Qussuk - Swan North Zone
-44.840347,60.354387,2001,Nalunaq
-49.744976,65.214372,2010,Isua (Isukasia)
-50.987517,71.112025,2007,Black Angel - Glacier Zone
-51.086556,64.4112,2006,Storø - Qingaaq
-44.844931,60.359605,2007,Nalunaq
-28.212786,83.086084,2008,Citronen Fjord - Discovery Zone
-51.733717,65.646942,2014,Pingo P-157
-51.544302,64.989716,2003,Seqi
-44.840595,60.355644,2006,Nalunaq
-45.871689,60.866579,2007,"Ilimausaq, Kringlerne"
-45.914193,60.943863,2011,"Ilimausaq, Sørensen"
-44.848474,60.360114,2004,Nalunaq
-44.840374,60.355537,2006,Nalunaq
-28.317558,83.097366,2010,Citronen Fjord - Beach Zone
-46.008778,60.97201,2007,"Ilimausaq, Kvanefjeld"
-45.995485,60.972927,2008,"Ilimausaq, Kvanefjeld"
-44.846112,60.358914,2007,Nalunaq
-51.234602,66.657298,2005,Uniiviit - Smile Lake
-24.086298,72.03278,2005,Malmbjerg
-51.087738,64.412897,2006,Storø - Qingaaq
-49.749518,65.210084,2011,Isua (Isukasia)
-44.846192,60.360302,2004,Nalunaq
-45.872104,60.866989,2007,"Ilimausaq, Kringlerne"
-44.836804,60.356601,2006,Nalunaq
-45.871689,60.866579,2007,"Ilimausaq, Kringlerne"
-51.084105,64.411217,2005,Storø - Qingaaq
-22.40886,71.11522,2014,Ice Cave
-45.840964,60.867286,2010,"Ilimausaq, Kringlerne"
-44.836118,60.355747,2004,Nalunaq
-52.113354,66.572687,2012,White Mountain (Qaqortorssuaq)
-51.533078,65.280532,2015,P-013_NE
-51.483915,66.351931,2008,Sarfartoq
-46.00232,60.977669,2008,"Ilimausaq, Kvanefjeld"
-51.452954,65.43211,2017,G-004
-44.833575,60.356401,2005,Nalunaq
-51.081578,64.414178,2015,Storø - Qingaaq
-51.498776,65.327558,2018,P-008
-50.979214,71.111719,2007,Black Angel - Glacier Zone
-45.926679,60.939737,2010,"Ilimausaq, Sørensen"
-44.837484,60.355954,2007,Nalunaq
-51.220233,71.09243,2006,Black Angel - Nunngarut Prospect
-45.989517,60.977391,2008,"Ilimausaq, Kvanefjeld"
-51.558365,65.357448,2017,Fossilik II P-058
-50.319631,63.010999,2007,Aappaluttoq
-50.319631,63.010999,2007,Aappaluttoq
-44.841088,60.354765,2006,Nalunaq
-44.847628,60.357287,2006,Nalunaq
-45.034332,60.223565,2005,Lake 410
-50.979186,71.112078,2006,Black Angel - Glacier Zone
-45.840358,60.867362,2010,"Ilimausaq, Kringlerne"
-51.573127,65.372041,2014,Fossilik I P-081
-50.319843,63.011207,2007,Aappaluttoq
-50.972322,71.112068,2006,Black Angel - Glacier Zone
-49.750584,65.208679,2010,Isua (Isukasia)
-52.108792,66.572042,2012,White Mountain (Qaqortorssuaq)
-47.43084,60.964459,2005,Isortoq South (Snoopy Lake)
-24.273485,71.95787,2007,Malmbjerg
-24.268008,71.954899,2005,Malmbjerg South Adit
-46.000035,60.970171,2010,"Ilimausaq, Kvanefjeld"
-31.72445,68.15962,2011,Skaergaard
-49.750046,65.207504,2011,Isua (Isukasia)
-51.320955,66.5285,2011,Sarfartoq - ST-1 east
-44.835601,60.355984,2005,Nalunaq
-44.840322,60.354378,2001,Nalunaq
-52.174682,66.558497,2012,White Mountain (Qaqortorssuaq)
-28.304614,83.0987,2010,Citronen Fjord - Beach Zone
-51.485274,65.436062,2013,Target P-054 Imiak Hill
-49.751378,65.210891,2010,Isua (Isukasia)
-44.87201,60.33434,2009,Kirkespirdalen Delta
-45.991957,60.976516,2011,"Ilimausaq, Kvanefjeld"
-68.736677,76.295319,2012,Havik North East
-45.869585,60.86688,2007,"Ilimausaq, Kringlerne"
-52.206062,66.552368,2012,White Mountain (Qaqortorssuaq)
-44.839197,60.351919,2005,Nalunaq
