OBJECTID,Ny_grønlandsk,Gammel_grønlandsk,Dansk,Alternativt_stednavn,Indbyggertal_2016,Grundkort,.geo
110,Arsuk,Arsuk,,,96,1,"{""type"":""Point"",""coordinates"":[-48.44755093315576,61.17527816195686]}"
111,Igaliku,Igaliko,,,24,1,"{""type"":""Point"",""coordinates"":[-45.42152468285427,60.988812228849795]}"
112,Ikamiut,Ikamiut,,,63,1,"{""type"":""Point"",""coordinates"":[-51.82966314979716,68.63441090296965]}"
113,Tussaaq,Tuvssâq,,,0,2,"{""type"":""Point"",""coordinates"":[-56.17951548999197,73.04825156716197]}"
114,Kangersuatsiaq,Kangerssuatsiaq,Prøven,,162,1,"{""type"":""Point"",""coordinates"":[-55.54827575079884,72.37973006697031]}"
115,Qeqertarsuaq,,Kraulshavn,Taliilannguaq Peary: Qikertarraaq,0,2,"{""type"":""Point"",""coordinates"":[-70.08774623456435,77.41619171354105]}"
116,Kangaamiut,Kangâmiut,,,331,1,"{""type"":""Point"",""coordinates"":[-53.342632001688074,65.82525131910032]}"
117,Ikerasak,,,,226,1,"{""type"":""Point"",""coordinates"":[-51.30367220370538,70.5019400375367]}"
118,Nerlerit Inaat,,Constable Pynt,Constable Pynt,,1,"{""type"":""Point"",""coordinates"":[-22.646385468033007,70.74331891878771]}"
119,Kuummiit,Kûngmit,Kulusuk,,293,1,"{""type"":""Point"",""coordinates"":[-37.00754535723288,65.86500319192878]}"
120,Uunartoq,Ûnarteq,Kap Tobin,"Siornatigut: Uunarteq, Manasse Anike: Uunartor",0,2,"{""type"":""Point"",""coordinates"":[-21.998674053717814,70.40981868887759]}"
121,Kitsissuarsuit,Kitsisuarssuit,Hunde Ejlande,,58,1,"{""type"":""Point"",""coordinates"":[-53.12127713931814,68.85740284161206]}"
122,Napasoq,Napassoq,,,89,1,"{""type"":""Point"",""coordinates"":[-52.38278088957955,65.04661092498883]}"
123,Tasiusaq,Tasiussaq,,,253,1,"{""type"":""Point"",""coordinates"":[-56.0586427257954,73.36872181812491]}"
124,Kangerlussuaq,,,,,1,"{""type"":""Point"",""coordinates"":[-50.7045440817585,67.00891865838602]}"
125,Sarfannguit,Sarfánguit,,Assa Enoksen: Sarfannguaq,114,1,"{""type"":""Point"",""coordinates"":[-52.86196677832109,66.89759645740358]}"
126,Saqqaq,Sarqaq,,,157,1,"{""type"":""Point"",""coordinates"":[-51.943342743706985,70.00961598675758]}"
127,Narsarmijit,Narssaq kujatdleq,Frederiksdal,,76,1,"{""type"":""Point"",""coordinates"":[-44.66661231860589,60.00513796014376]}"
128,Itilleq,Itivdleq,,,84,1,"{""type"":""Point"",""coordinates"":[-53.49728348527672,66.57699260089376]}"
129,Itterajivit,Igtâjimmiut,Kap Hope,"Siornatigut: Ittaajimmiut, Andreas Sanimuinaq: Ittaaimmiid",0,2,"{""type"":""Point"",""coordinates"":[-22.328710232231288,70.45908784041474]}"
