name,licence_id,category,status,ownername,grantdate,expirydate,area_km2,liccode,appliccode,.geo
MEL 2024-67,184878,Mineral Exploration Licence (MEL),Active License,Xploration Services Greenland A/S,2024-07-10,2028-12-31,35.1604,MEL 2024-67,M-MLSA-393,"{""type"":""MultiPolygon"",""coordinates"":[[[[-49.18333333,62.15],[-49.15,62.15],[-49.15,62.13333333],[-49.13333333,62.13333333],[-49.13333333,62.15],[-49.1,62.15],[-49.1,62.13333333],[-49.11666667,62.13333333],[-49.11666667,62.1],[-49.13333333,62.1],[-49.13333333,62.08333333],[-49.16666667,62.08333333],[-49.16666667,62.06666667],[-49.21666667,62.06666667],[-49.21666667,62.11666667],[-49.18333333,62.11666667],[-49.18333333,62.15]]]]}"
MEL 2025-99,195299,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2025-07-03,2029-12-31,41.66,MEL 2025-99,M-MLSA-436,"{""type"":""MultiPolygon"",""coordinates"":[[[[-33.26666667,68.63333333],[-33.08333333,68.63333333],[-33.08333333,68.58333333],[-33.26666667,68.58333333],[-33.26666667,68.63333333]]]]}"
MEL 2020-41,17215,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2021-03-02,2026-12-31,332.99,MEL 2020-41,M-239,"{""type"":""MultiPolygon"",""coordinates"":[[[[-45.78333333,61.48333333],[-45.61666667,61.48333333],[-45.61666667,61.41666667],[-45.7,61.41666667],[-45.7,61.4],[-45.71666667,61.4],[-45.71666667,61.38333333],[-45.75,61.38333333],[-45.75,61.36666667],[-45.78333333,61.36666667],[-45.78333333,61.35],[-45.8,61.35],[-45.81666667,61.35],[-45.81666667,61.3],[-45.83333333,61.3],[-45.83333333,61.28333333],[-45.86666667,61.28333333],[-45.86666667,61.26666667],[-45.88333333,61.26666667],[-45.88333333,61.23333333],[-45.9,61.23333333],[-45.9,61.21666667],[-45.98333333,61.21666667],[-45.98333333,61.23333333],[-46.06666667,61.23333333],[-46.06666667,61.35],[-46,61.35],[-46,61.36666667],[-45.98333333,61.36666667],[-45.98333333,61.38333333],[-45.96666667,61.38333333],[-45.96666667,61.4],[-45.88333333,61.4],[-45.88333333,61.46666667],[-45.78333333,61.46666667],[-45.78333333,61.48333333]]]]}"
MEL 2024-130,187281,Mineral Exploration Licence (MEL),Active License,Itinnera Solutions ApS,2024-08-28,2028-12-31,147.26,MEL 2024-130,M-402,"{""type"":""MultiPolygon"",""coordinates"":[[[[-50.11666667,62.36666667],[-50.03333333,62.36666667],[-50.03333333,62.35],[-49.98333333,62.35],[-49.98333333,62.31666667],[-49.88333333,62.31666667],[-49.88333333,62.28333333],[-49.83333333,62.28333333],[-49.83333333,62.25],[-50.01666667,62.25],[-50.01666667,62.26666667],[-50.05,62.26666667],[-50.05,62.31666667],[-50.08333333,62.31666667],[-50.08333333,62.33333333],[-50.11666667,62.33333333],[-50.11666667,62.36666667]]],[[[-49.51666667,62.25],[-49.33333333,62.25],[-49.33333333,62.26666667],[-49.28333333,62.26666667],[-49.28333333,62.23333333],[-49.3,62.23333333],[-49.3,62.21666667],[-49.43333333,62.21666667],[-49.43333333,62.23333333],[-49.46666667,62.23333333],[-49.46666667,62.21666667],[-49.51666667,62.21666667],[-49.51666667,62.25]]]]}"
MEL 2024-69,185528,Mineral Exploration Licence (MEL),Active License,Arcticulture ApS,2024-07-10,2028-12-31,6.86,MEL 2024-69,M-MLSA-396,"{""type"":""MultiPolygon"",""coordinates"":[[[[-51.9,64.2],[-51.95,64.2],[-51.95,64.23333333],[-51.9,64.23333333],[-51.9,64.2]]]]}"
MEL 2024-68,184855,Mineral Exploration Licence (MEL),Active License,Xploration Services Greenland A/S,2024-07-10,2028-12-31,170.2843,MEL 2024-68,M-MLSA-392,"{""type"":""MultiPolygon"",""coordinates"":[[[[-50.01666667,64.83333333],[-49.96666667,64.83333333],[-49.96666667,64.81666667],[-49.91666667,64.81666667],[-49.91666667,64.78333333],[-49.93333333,64.78333333],[-49.93333333,64.76666667],[-49.65,64.76666667],[-49.65,64.71666667],[-49.98333333,64.71666667],[-49.98333333,64.7],[-50.1,64.7],[-50.1,64.68333333],[-50.2,64.68333333],[-50.2,64.7],[-50.16666667,64.7],[-50.16666667,64.71666667],[-50.11666667,64.71666667],[-50.11666667,64.73333333],[-50.08333333,64.73333333],[-50.08333333,64.75],[-50.05,64.75],[-50.05,64.76666667],[-50.03333333,64.76666667],[-50.03333333,64.78333333],[-50.01666667,64.78333333],[-50.01666667,64.83333333]]]]}"
MEL 2025-101,192450,Mineral Exploration Licence (MEL),Active License,Pulsar Helium (GL) Inc.,2025-07-08,2029-12-31,63.226,MEL 2025-101,M-414,"{""type"":""MultiPolygon"",""coordinates"":[[[[-21.95,70.46666667],[-21.88333333,70.46666667],[-21.88333333,70.48333333],[-21.55,70.48333333],[-21.55,70.46666667],[-21.61666667,70.46666667],[-21.61666667,70.41666667],[-21.78333333,70.41666667],[-21.78333333,70.4],[-22,70.4],[-22,70.43333333],[-21.95,70.43333333],[-21.95,70.46666667]]]]}"
MEL 2025-32,191495,Mineral Exploration Licence (MEL),Active License,Xploration Services Greenland A/S,2025-04-29,2029-12-31,87.66,MEL 2025-32,M-MLSA-411,"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.13333333,71.33333333],[-53.1,71.33333333],[-53.1,71.31666667],[-53.11666667,71.31666667],[-53.11666667,71.28333333],[-53.1,71.28333333],[-53.1,71.26666667],[-53.03333333,71.26666667],[-53.03333333,71.25],[-53.06666667,71.25],[-53.06666667,71.23333333],[-53.1,71.23333333],[-53.1,71.2],[-53.13333333,71.2],[-53.13333333,71.25],[-53.15,71.25],[-53.15,71.31666667],[-53.13333333,71.31666667],[-53.13333333,71.33333333]]],[[[-52.43333333,71.31666667],[-52.38333333,71.31666667],[-52.38333333,71.3],[-52.36666667,71.3],[-52.36666667,71.26666667],[-52.5,71.26666667],[-52.5,71.3],[-52.43333333,71.3],[-52.43333333,71.31666667]]],[[[-52.23333333,71.28333333],[-52.15,71.28333333],[-52.15,71.25],[-52.16666667,71.25],[-52.16666667,71.23333333],[-52.26666667,71.23333333],[-52.26666667,71.26666667],[-52.23333333,71.26666667],[-52.23333333,71.28333333]]],[[[-52.11666667,71.11666667],[-52.06666667,71.11666667],[-52.06666667,71.08333333],[-52.11666667,71.08333333],[-52.11666667,71.11666667]]],[[[-51.16666667,70.8],[-51.01666667,70.8],[-51.01666667,70.76666667],[-51.05,70.76666667],[-51.05,70.75],[-51.06666667,70.75],[-51.06666667,70.76666667],[-51.15,70.76666667],[-51.15,70.75],[-51.16666667,70.75],[-51.16666667,70.76666667],[-51.18333333,70.76666667],[-51.18333333,70.78333333],[-51.16666667,70.78333333],[-51.16666667,70.8]]]]}"
MEL 2025-01,191148,Mineral Exploration Licence (MEL),Active License,ALEZA Invest SE,2025-01-01,2029-12-31,181.88,MEL 2025-01,M-MLSA-407,"{""type"":""MultiPolygon"",""coordinates"":[[[[-25.85,70.73333333],[-25.63333333,70.73333333],[-25.63333333,70.6],[-26,70.6],[-26,70.7],[-25.85,70.7],[-25.85,70.73333333]]]]}"
MEL 2024-128,186075,Mineral Exploration Licence (MEL),Active License,Arcticulture ApS,2024-08-28,2028-12-31,29.14,MEL 2024-128,M-MLSA-399,"{""type"":""MultiPolygon"",""coordinates"":[[[[-50.85333333,66.83833333],[-50.8,66.82111111],[-50.76166667,66.84722222],[-50.8225,66.86305556],[-50.85333333,66.83833333]]],[[[-50.97027778,66.96805556],[-50.88,66.98083333],[-50.83444444,66.95027778],[-50.92777778,66.92944444],[-50.97027778,66.96805556]]]]}"
MEL 2020-64,20009,Mineral Exploration Licence (MEL),Active License,Longland Resources Limited,2020-09-29,2026-12-31,264,MEL 2020-64,M-252,"{""type"":""MultiPolygon"",""coordinates"":[[[[-24.2,72.23333333],[-24.08333333,72.23333333],[-24.08333333,72.26666667],[-23.9,72.26666667],[-23.9,72.2425],[-23.95,72.2425],[-23.95,72.25],[-24,72.25],[-24,72.22416667],[-23.9,72.22416667],[-23.9,72.21666667],[-23.81666667,72.21666667],[-23.81666667,72.13333333],[-23.85,72.13333333],[-23.85,72.05],[-24.2,72.05],[-24.2,72.23333333]]]]}"
MEL 2022-01,156728,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2022-02-23,2026-12-31,68.3646,MEL 2022-01,M-MLSA-310,"{""type"":""MultiPolygon"",""coordinates"":[[[[-47.63333333,61.01666667],[-47.53333333,61.01666667],[-47.53333333,61],[-47.6,61],[-47.6,60.98333333],[-47.65,60.98333333],[-47.65,60.96666667],[-47.73333333,60.96666667],[-47.73333333,60.95],[-47.78333333,60.95],[-47.78333333,60.93333333],[-47.91666667,60.93333333],[-47.91666667,60.91666667],[-47.98333333,60.91666667],[-47.98333333,60.9],[-48.01666667,60.9],[-48.01666667,60.88333333],[-48.06666667,60.88333333],[-48.06666667,60.86666667],[-48.13333333,60.86666667],[-48.13333333,60.85],[-48.16666667,60.85],[-48.16666667,60.88333333],[-48.1,60.88333333],[-48.1,60.9],[-48.03333333,60.9],[-48.03333333,60.91666667],[-48,60.91666667],[-48,60.93333333],[-47.93333333,60.93333333],[-47.93333333,60.95],[-47.85,60.95],[-47.85,60.96666667],[-47.78333333,60.96666667],[-47.78333333,60.98333333],[-47.75,60.98333333],[-47.75,61],[-47.63333333,61],[-47.63333333,61.01666667]]]]}"
MEL 2020-31,22950,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2020-05-28,2026-12-31,63.91,MEL 2020-31,M-MLSA-273,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.9,60.96666667],[-44.78333333,60.96666667],[-44.78333333,60.93333333],[-44.81666667,60.93333333],[-44.81666667,60.91666667],[-44.83333333,60.91666667],[-44.83333333,60.9],[-44.85,60.9],[-44.85,60.88333333],[-44.86666667,60.88333333],[-44.86666667,60.86666667],[-44.88333333,60.86666667],[-44.88333333,60.85],[-44.91666667,60.85],[-44.91666667,60.93333333],[-44.96666667,60.93333333],[-44.96666667,60.95],[-44.9,60.95],[-44.9,60.96666667]]]]}"
MEL 2019-59,7594,Mineral Exploration Licence (MEL),Active License,NAIP West Exploration A/S,2020-01-01,2026-12-31,827,MEL 2019-59,M-76,"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.26666667,70.53333333],[-52.8,70.53333333],[-52.8,70.28333333],[-52.91666667,70.28333333],[-52.91666667,70.3],[-53,70.3],[-53,70.31666667],[-53.08333333,70.31666667],[-53.08333333,70.33333333],[-53.16666667,70.33333333],[-53.16666667,70.35],[-53.26666667,70.35],[-53.26666667,70.53333333]]],[[[-54.5,70.31666667],[-54.41666667,70.31666667],[-54.41666667,70.33333333],[-54.25,70.33333333],[-54.25,70.31666667],[-54.16666667,70.31666667],[-54.16666667,70.3],[-54.1,70.3],[-54.1,70.11666667],[-54,70.11666667],[-54,70.08333333],[-54.5,70.08333333],[-54.5,70.31666667]]]]}"
MEL 2020-06,17184,Mineral Exploration Licence (MEL),Active License,Disko Exploration Ltd.,2020-02-27,2026-12-31,586,MEL 2020-06,M-MLSA-238,"{""type"":""MultiPolygon"",""coordinates"":[[[[-52,71.43333333],[-51.85,71.43333333],[-51.85,71.45],[-51.65,71.45],[-51.65,71.46666667],[-51.58333333,71.46666667],[-51.58333333,71.45],[-51.08333333,71.45],[-51.08333333,71.43333333],[-51.03333333,71.43333333],[-51.03333333,71.41666667],[-51.01666667,71.41666667],[-51.01666667,71.4],[-51.03333333,71.4],[-51.03333333,71.38333333],[-51.1,71.38333333],[-51.1,71.36666667],[-51.16666667,71.36666667],[-51.16666667,71.35],[-51.13333333,71.35],[-51.13333333,71.33333333],[-51.08333333,71.33333333],[-51.08333333,71.31666667],[-51.05,71.31666667],[-51.05,71.33333333],[-50.96666667,71.33333333],[-50.96666667,71.3],[-51.05,71.3],[-51.05,71.28333333],[-51.15,71.28333333],[-51.15,71.26666667],[-51.26666667,71.26666667],[-51.26666667,71.25],[-51.28333333,71.25],[-51.28333333,71.23333333],[-51.31666667,71.23333333],[-51.31666667,71.21666667],[-51.28333333,71.21666667],[-51.28333333,71.2],[-51.35,71.2],[-51.35,71.21666667],[-51.41666667,71.21666667],[-51.41666667,71.2],[-51.81666667,71.2],[-51.81666667,71.18333333],[-52.06666667,71.18333333],[-52.06666667,71.21666667],[-51.98333333,71.21666667],[-51.98333333,71.23333333],[-51.93333333,71.23333333],[-51.93333333,71.25],[-51.88333333,71.25],[-51.88333333,71.26666667],[-51.68333333,71.26666667],[-51.68333333,71.25],[-51.46666667,71.25],[-51.46666667,71.26666667],[-51.3,71.26666667],[-51.3,71.28333333],[-51.25,71.28333333],[-51.25,71.3],[-51.15,71.3],[-51.15,71.33333333],[-51.2,71.33333333],[-51.2,71.36666667],[-51.45,71.36666667],[-51.45,71.3],[-51.55,71.3],[-51.55,71.31666667],[-51.7,71.31666667],[-51.7,71.35],[-51.75,71.35],[-51.75,71.33333333],[-51.81666667,71.33333333],[-51.81666667,71.31666667],[-51.85,71.31666667],[-51.85,71.3],[-51.95,71.3],[-51.95,71.35],[-51.96666667,71.35],[-51.96666667,71.36666667],[-52,71.36666667],[-52,71.43333333]]]]}"
MEL 2015-08,723,Mineral Exploration Licence (MEL),Active License,Dundas Titanium A/S,2015-01-01,2026-12-31,2697.851,MEL 2015-08,M-36,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.1,76.78333333],[-69.95,76.78333333],[-69.95,76.75],[-69.86666667,76.75],[-69.4,76.70277778],[-69.28333333,76.68611111],[-69.28333333,76.67777778],[-69.08333333,76.67777778],[-69.08333333,76.7],[-68.76666667,76.7],[-68.76666667,76.66666667],[-69.4,76.66666667],[-69.4,76.7],[-69.6,76.7],[-69.6,76.71666667],[-69.8,76.71666667],[-69.8,76.73333333],[-70,76.73333333],[-70,76.75],[-70.1,76.75],[-70.1,76.78333333]]],[[[-67.01666667,77.4],[-67.01666667,77.35],[-68.2,77.35],[-68.2,77.31666667],[-68.16666667,77.31666667],[-68.16666667,77.26666667],[-67.5,77.26666667],[-67.51666667,77.08333333],[-68.7,77.08333333],[-68.7,77.11666667],[-69.5,77.11666667],[-69.5,77.15],[-70.53333333,77.15],[-70.53333333,77.08333333],[-70.8,77.08333333],[-70.8,77],[-70.35,77],[-70.35,76.93333333],[-70.45,76.93333333],[-70.45,76.88333333],[-70.15,76.88333333],[-70.15,77],[-70,77],[-70,76.98333333],[-69.88333333,76.98333333],[-69.88333333,77.01666667],[-70.08333333,77.01666667],[-70.08333333,77.05],[-69.35,77.05],[-69.35,76.96666667],[-69.2,76.96666667],[-69.2,76.78333333],[-69.11666667,76.78333333],[-69.11666667,76.75],[-67.83333333,76.75],[-67.83333333,76.63333333],[-68.76666667,76.63333333],[-68.76666667,76.7],[-69.2,76.7],[-69.2,76.75],[-69.7,76.75],[-69.7,76.76666667],[-69.8,76.76666667],[-69.8,76.78333333],[-70.51666667,76.78333333],[-70.51666667,76.81666667],[-70.61666667,76.81666667],[-70.61666667,76.83333333],[-70.66666667,76.83333333],[-70.66666667,76.85],[-70.73333333,76.85],[-70.73333333,76.86666667],[-70.78333333,76.86666667],[-70.78333333,76.88333333],[-70.86666667,76.88333333],[-70.86666667,76.9],[-70.76666667,76.9],[-70.75,76.91666667],[-70.63333333,76.91666667],[-70.63333333,76.95],[-70.88333333,76.95],[-70.88333333,76.96666667],[-70.96666667,76.96666667],[-70.96666667,76.98333333],[-71.36666667,76.98333333],[-71.36666667,77.08333333],[-71.2,77.08333333],[-71.2,77.15],[-70.93333333,77.15],[-70.93333333,77.21666667],[-70.6,77.21666667],[-70.61064167,77.25],[-69.1,77.25],[-69.1,77.31666667],[-68.85,77.31666667],[-68.85,77.35],[-68.56666667,77.35],[-68.56666667,77.38333333],[-67.9,77.38333333],[-67.9,77.4],[-67.01666667,77.4]]]]}"
MEL 2025-17,167380,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2025-01-20,2029-12-31,63.2335,MEL 2025-17,M-MLSA-340,"{""type"":""MultiPolygon"",""coordinates"":[[[[-45.38333333,61.31666667],[-45.23333333,61.31666667],[-45.23333333,61.3],[-45.26666667,61.3],[-45.26666667,61.26666667],[-45.3,61.26666667],[-45.3,61.21666667],[-45.38333333,61.21666667],[-45.38333333,61.31666667]]]]}"
MEL 2020-26,17117,Mineral Exploration Licence (MEL),Active License,Black Angel Mining A/S,2020-05-28,2026-12-31,52,MEL 2020-26,M-MLSA-237,"{""type"":""MultiPolygon"",""coordinates"":[[[[-51.11666667,71.16666667],[-51.05,71.16666667],[-51.05,71.13333333],[-51.08333333,71.13333333],[-51.08333333,71.11666667],[-51.18333333,71.11666667],[-51.18333333,71.06666667],[-51.26666667,71.06666667],[-51.26666667,71.08333333],[-51.3,71.08333333],[-51.3,71.1],[-51.31666667,71.1],[-51.31666667,71.13333333],[-51.26666667,71.13333333],[-51.26666667,71.15],[-51.11666667,71.15],[-51.11666667,71.16666667]]]]}"
MEL-T 2025-171,201368,Tender - Mineral Exploration Licence (MEL),Active License,Black Angel Mining A/S,2025-07-31,2029-12-31,114.71,MEL-T 2025-171,M-491,"{""type"":""MultiPolygon"",""coordinates"":[[[[-51.15,71.16666667],[-51.11666667,71.16666667],[-51.11666667,71.15],[-51.15,71.15],[-51.15,71.16666667]]],[[[-51.05,71.16666667],[-51,71.16666667],[-51,71.13333333],[-50.9,71.13333333],[-50.9,71.11666667],[-50.86666667,71.11666667],[-50.86666667,71.06666667],[-51.18333333,71.06666667],[-51.18333333,71.11666667],[-51.08333333,71.11666667],[-51.08333333,71.13333333],[-51.05,71.13333333],[-51.05,71.16666667]]],[[[-51.38333333,71.13333333],[-51.31666667,71.13333333],[-51.31666667,71.1],[-51.3,71.1],[-51.3,71.08333333],[-51.26666667,71.08333333],[-51.26666667,71.06666667],[-51.38333333,71.06666667],[-51.38333333,71.08333333],[-51.43333333,71.08333333],[-51.43333333,71.11666667],[-51.38333333,71.11666667],[-51.38333333,71.13333333]]]]}"
MEL-T 2023-174,170574,Tender - Mineral Exploration Licence (MEL),Active License,R500 Greenmin Ltd.,2023-10-10,2028-12-31,12,MEL-T 2023-174,M-347,"{""type"":""MultiPolygon"",""coordinates"":[[[[-51.6,65],[-51.51666667,65],[-51.51666667,64.98333333],[-51.55,64.98333333],[-51.55,64.96666667],[-51.6,64.96666667],[-51.6,65],[-51.6,65]]]]}"
MEL 2019-80,9840,Mineral Exploration Licence (MEL),Active License,Anglo American Exploration Overseas Holdings Limited,2019-07-15,2030-12-31,2447.17,MEL 2019-80,M-93,"{""type"":""MultiPolygon"",""coordinates"":[[[[-54.73333333,71.98333333],[-54.48333333,71.98333333],[-54.48333333,71.96666667],[-54.26666667,71.96666667],[-54.26666667,71.95],[-54.06666667,71.95],[-54.06666667,71.8],[-53.9,71.8],[-53.9,71.76666667],[-53.8,71.76666667],[-53.8,71.73333333],[-53.73333333,71.73333333],[-53.73333333,71.71666667],[-53.71666667,71.71666667],[-53.71666667,71.68333333],[-53.73333333,71.68333333],[-53.73333333,71.66666667],[-53.71666667,71.66666667],[-53.71666667,71.65],[-53.73333333,71.65],[-53.73333333,71.63333333],[-53.91666667,71.63333333],[-53.91666667,71.65],[-54.06666667,71.65],[-54.06666667,71.61666667],[-53.98333333,71.61666667],[-53.98333333,71.6],[-53.9,71.6],[-53.9,71.58333333],[-53.86666667,71.58333333],[-53.86666667,71.56666667],[-53.85,71.56666667],[-53.85,71.51666667],[-53.86666667,71.51666667],[-53.86666667,71.46666667],[-53.88333333,71.46666667],[-53.88333333,71.45],[-53.9,71.45],[-53.9,71.43333333],[-54.06666667,71.43333333],[-54.06666667,71.41666667],[-54.16666667,71.41666667],[-54.16666667,71.4],[-54.25,71.4],[-54.25,71.38333333],[-54.33333333,71.38333333],[-54.33333333,71.36666667],[-54.65,71.36666667],[-54.65,71.35],[-54.86666667,71.35],[-54.86666667,71.36666667],[-54.91666667,71.36666667],[-54.91666667,71.38333333],[-54.93333333,71.38333333],[-54.93333333,71.4],[-54.93333333,71.75],[-55.36666667,71.75],[-55.36666667,71.86666667],[-55.33333333,71.86666667],[-55.33333333,71.9],[-54.96666667,71.9],[-54.96666667,71.91666667],[-54.85,71.91666667],[-54.85,71.93333333],[-54.81666667,71.93333333],[-54.81666667,71.95],[-54.76666667,71.95],[-54.76666667,71.96666667],[-54.73333333,71.96666667],[-54.73333333,71.98333333]]]]}"
MEL 2012-29,626,Mineral Exploration Licence (MEL),Active License,Nikkeli Greenland A/S,2012-01-01,2026-12-31,194,MEL 2012-29,M-24,"{""type"":""MultiPolygon"",""coordinates"":[[[[-54,70.3],[-53.85,70.3],[-53.85,70.16666667],[-53.8,70.16666667],[-53.8,70.13333333],[-53.9,70.13333333],[-53.9,70.15],[-54,70.15],[-54,70.3],[-54,70.3]]],[[[-53.75,70.48333333],[-53.35,70.48333333],[-53.35,70.41666667],[-53.55,70.41666667],[-53.55,70.43333333],[-53.75,70.43333333],[-53.75,70.48333333],[-53.75,70.48333333]]]]}"
MEL 2021-10,29376,Mineral Exploration Licence (MEL),Active License,Major Precious Greenland A/S,2021-01-07,2026-12-31,754,MEL 2021-10,M-MLSA-292,"{""type"":""MultiPolygon"",""coordinates"":[[[[-32.21666667,68.45],[-31.4,68.45],[-31.4,68.28333333],[-31.43333333,68.28333333],[-31.43333333,68.26666667],[-31.48333333,68.26666667],[-31.48333333,68.25],[-32,68.25],[-32,68.26666667],[-32.06666667,68.26666667],[-32.06666667,68.3],[-32.1,68.3],[-32.1,68.33333333],[-32.13333333,68.33333333],[-32.13333333,68.36666667],[-32.21666667,68.36666667],[-32.21666667,68.45]]],[[[-32.46666667,68.36666667],[-32.46666667,68.36666667],[-32.16666667,68.36611111],[-32.16666667,68.28333333],[-32.1,68.28333333],[-32.1,68.18333333],[-32.25,68.21666667],[-32.25,68.31666667],[-32.36666667,68.31666667],[-32.36666667,68.26666667],[-32.33333333,68.26666667],[-32.33333333,68.21666667],[-32.25063611,68.216575],[-32.10051667,68.18325556],[-32.46666667,68.18333333],[-32.46666667,68.36666667],[-32.46666667,68.36666667]]]]}"
MIN 2026-03,207341,Mining Exploitation Licence (MIN),Active License,Greenland Graphite A/S,2026-01-01,2055-12-31,72.62,MIN 2026-03,M-MLSA-503,"{""type"":""MultiPolygon"",""coordinates"":[[[[-45.03333333,60.38333333],[-44.96666667,60.38333333],[-44.96666667,60.35],[-44.98333333,60.35],[-44.98333333,60.33333333],[-45,60.33333333],[-45,60.31666667],[-45.05,60.31666667],[-45.05,60.3],[-45.1,60.3],[-45.1,60.2],[-45.2,60.2],[-45.2,60.21666667],[-45.18333333,60.21666667],[-45.18333333,60.23333333],[-45.23333333,60.23333333],[-45.23333333,60.3],[-45.2,60.3],[-45.2,60.31666667],[-45.18333333,60.31666667],[-45.18333333,60.33333333],[-45.1,60.33333333],[-45.1,60.35],[-45.08333333,60.35],[-45.08333333,60.36666667],[-45.03333333,60.36666667],[-45.03333333,60.38333333]]]]}"
MEL 2025-138,195307,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2025-07-16,2029-12-31,730.19,MEL 2025-138,M-MLSA-437,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.05,78.71666667],[-67.6,78.71666667],[-67.6,78.53333333],[-67.81666667,78.53333333],[-67.81666667,78.51666667],[-68.01666667,78.51666667],[-68.01666667,78.5],[-68.2,78.5],[-68.2,78.46666667],[-68.7,78.46666667],[-68.7,78.43333333],[-69.51666667,78.43333333],[-69.51666667,78.51666667],[-69.13333333,78.51666667],[-69.13333333,78.55],[-68.83333333,78.55],[-68.83333333,78.58333333],[-68.66666667,78.58333333],[-68.66666667,78.63333333],[-68.56666667,78.63333333],[-68.56666667,78.66666667],[-68.05,78.66666667],[-68.05,78.71666667]]]]}"
MEL 2007-45,524,Mineral Exploration Licence (MEL),Active License,Eclipse Metals Limited Greenland,2007-01-01,2027-12-31,39.246,MEL 2007-45,M-8,"{""type"":""MultiPolygon"",""coordinates"":[[[[-48.15,61.26666667],[-48.05,61.26666667],[-48.05,61.25],[-48,61.25],[-48,61.21666667],[-48.03333333,61.21666667],[-48.03333333,61.2],[-48.05,61.2],[-48.05,61.18333333],[-48.06666667,61.18333333],[-48.06666667,61.2],[-48.08333333,61.2],[-48.08333333,61.225],[-48.07777778,61.225],[-48.07777778,61.24166667],[-48.08333333,61.24166667],[-48.08333333,61.25],[-48.13333333,61.25],[-48.13333333,61.18333333],[-48.2,61.18333333],[-48.2,61.21666667],[-48.15,61.21666667],[-48.15,61.26666667]]]]}"
MEL 2025-185,181872,Special Exploration Licence (MEL-S),Active License,Longland Resources Limited,2025-11-03,2028-12-31,4613.86,MEL 2025-185,M-383,"{""type"":""MultiPolygon"",""coordinates"":[[[[-31.15,68.81666667],[-30.1,68.81666667],[-30.1,68.73333333],[-29.98333333,68.73333333],[-29.98333333,68.68333333],[-29.7,68.68333333],[-29.7,68.41666667],[-30.01666667,68.41666667],[-30.01666667,68.3],[-29.96666667,68.3],[-29.96666667,68.26666667],[-29.73333333,68.26666667],[-29.73333333,68.16666667],[-30.01666667,68.16666667],[-30.01666667,68.13333333],[-30.13333333,68.13333333],[-30.13333333,68.11666667],[-30.45,68.11666667],[-30.45,68.08333333],[-30.9,68.08333333],[-30.9,68.05],[-31.25,68.05],[-31.25,68.08333333],[-31.65,68.08333333],[-31.65,68.1],[-31.73333333,68.1],[-31.73333333,68.11666667],[-31.65,68.11666667],[-31.65,68.13333333],[-31.56666667,68.13333333],[-31.56666667,68.15],[-31.5,68.15],[-31.5,68.18333333],[-31.51666667,68.18333333],[-31.51666667,68.21666667],[-31.58333333,68.21666667],[-31.58333333,68.23333333],[-31.48333333,68.23333333],[-31.48333333,68.15],[-31.4,68.15],[-31.4,68.16666667],[-31.31666667,68.16666667],[-31.31666667,68.2],[-31.36666667,68.2],[-31.36666667,68.25],[-31.33333333,68.25],[-31.33333333,68.26666667],[-31.3,68.26666667],[-31.3,68.35],[-31.2,68.35],[-31.2,68.5],[-31.1,68.5],[-31.1,68.58333333],[-31.15,68.58333333],[-31.15,68.81666667]]],[[[-31.4,68.53333333],[-31.36666667,68.53333333],[-31.36666667,68.5],[-31.4,68.5],[-31.4,68.53333333]]]]}"
MEL 2025-177,196456,Mineral Exploration Licence (MEL),Active License,Lumina Sustainable Materials A/S,2025-08-01,2029-11-30,367.29,MEL 2025-177,M-MLSA-461,"{""type"":""MultiPolygon"",""coordinates"":[[[[-24.85,71.61666667],[-24.41666667,71.61666667],[-24.41666667,71.46666667],[-24.55,71.46666667],[-24.55,71.36666667],[-24.75,71.36666667],[-24.75,71.45],[-24.85,71.45],[-24.85,71.61666667],[-24.85,71.61666667]]],[[[-24.96666667,71.75],[-24.85,71.75],[-24.85,71.7],[-24.96666667,71.7],[-24.96666667,71.75]]]]}"
MEL 2010-24,544,Mineral Exploration Licence (MEL),Active License,Rimbal Pty Ltd - Greenland branch,2005-01-01,2028-12-31,37,MEL 2010-24,M-13,"{""type"":""MultiPolygon"",""coordinates"":[[[[-45.91666667,60.93333333],[-45.75,60.93333333],[-45.75111111,60.88055556],[-45.77194444,60.86472222],[-45.8,60.85972222],[-45.8,60.88333333],[-45.81666667,60.88333333],[-45.81666667,60.9],[-45.86666667,60.9],[-45.86666667,60.88333333],[-45.9,60.88333333],[-45.9,60.9],[-45.91666667,60.9],[-45.91666667,60.93333333],[-45.91666667,60.93333333]]]]}"
