name,licence_id,category,status,ownername,grantdate,expirydate,area_km2,liccode,appliccode,.geo
MIN 2003-05,830,Mining Exploitation Licence (MIN),Active License,Nalunaq A/S,2003-04-24,2033-04-24,37.822,MIN 2003-05,M-62,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.88333333,60.38333333],[-44.81666667,60.38333333],[-44.81666667,60.36666667],[-44.8,60.36666667],[-44.8,60.35],[-44.81666667,60.35],[-44.81666667,60.33333333],[-44.88333333,60.33333333],[-44.88333333,60.38333333]]],[[[-44.91666667,60.35],[-44.88333333,60.35],[-44.88333333,60.33333333],[-44.86666667,60.33333333],[-44.86666667,60.31666667],[-44.91666667,60.31666667],[-44.91666667,60.3],[-44.93333333,60.3],[-44.93333333,60.33333333],[-44.91666667,60.33333333],[-44.91666667,60.35]]],[[[-44.95,60.33333333],[-44.93333333,60.33333333],[-44.93333333,60.3],[-44.98333333,60.3],[-44.98333333,60.31666667],[-44.95,60.31666667],[-44.95,60.33333333]]]]}"
MIN 2016-30,846,Mining Exploitation Licence (MIN),Active License,Ironbark A/S,2016-12-16,2046-12-16,123.13,MIN 2016-30,M-66,"{""type"":""MultiPolygon"",""coordinates"":[[[[-29,83.16666667],[-28,83.16666667],[-28,83.05],[-28.8,83.05],[-28.8,83.11666667],[-29,83.11666667],[-29,83.16666667],[-29,83.16666667]]]]}"
MEL 2025-175,197007,Mineral Exploration Licence (MEL),Active License,Zawar Greenland ApS,2025-08-05,2029-12-31,110.482,MEL 2025-175,M-MLSA-463,"{""type"":""MultiPolygon"",""coordinates"":[[[[-52.1,70.26666667],[-51.91666667,70.26666667],[-51.91666667,70.18333333],[-52.1,70.18333333],[-52.1,70.26666667]]],[[[-51.96666667,70.1],[-51.91666667,70.1],[-51.91666667,70.08333333],[-51.88333333,70.08333333],[-51.88333333,70.06666667],[-51.85,70.06666667],[-51.85,70.05],[-51.8,70.05],[-51.8,70.03333333],[-51.76666667,70.03333333],[-51.76666667,70.01666667],[-51.73333333,70.01666667],[-51.73333333,70],[-51.98333333,70],[-51.98333333,70.03333333],[-51.93333333,70.03333333],[-51.93333333,70.06666667],[-51.96666667,70.06666667],[-51.96666667,70.1],[-51.96666667,70.1]]]]}"
MEL 2021-01,27983,Mineral Exploration Licence (MEL),Active License,Copenhagen Minerals Inc.,2021-01-01,2026-12-31,540,MEL 2021-01,M-MLSA-285,"{""type"":""MultiPolygon"",""coordinates"":[[[[-51.5,64.61666667],[-50.78333333,64.53333333],[-51.00972222,64.42916667],[-51.02972222,64.42916667],[-51.02972222,64.41972222],[-51.03333333,64.41666667],[-51.03333333,64.45],[-51.08333333,64.45],[-51.08333333,64.41666667],[-51.1,64.41666667],[-51.1,64.4],[-51.06666667,64.4],[-51.06666667,64.41666667],[-51.03333333,64.41638889],[-51.02944444,64.41972222],[-51.00972222,64.41972222],[-51.00972222,64.42888889],[-50.78333333,64.53305556],[-51.01666667,64.23333333],[-51.6,64.31666667],[-51.5,64.61666667]]]]}"
MEL 2022-07,161338,Mineral Exploration Licence (MEL),Active License,Ox Resources Pty Ltd Greenland,2022-05-20,2026-12-31,17,MEL 2022-07,M-MLSA-325,"{""type"":""MultiPolygon"",""coordinates"":[[[[-48.25,60.83333333],[-48.18333333,60.83333333],[-48.18333333,60.76666667],[-48.25,60.76666667],[-48.25,60.83333333]]]]}"
MEL 2021-02,28074,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2021-01-01,2026-12-31,384.61,MEL 2021-02,M-MLSA-286,"{""type"":""MultiPolygon"",""coordinates"":[[[[-46.11666667,61.21666667],[-45.9,61.21666667],[-45.9,61.18333333],[-45.83333333,61.18333333],[-45.83333333,61.11666667],[-45.9,61.11666667],[-45.9,61.13333333],[-46,61.13333333],[-46,61.1],[-45.9,61.1],[-45.9,61.03333333],[-46.03333333,61.03333333],[-46.03333333,61],[-46.11666667,61],[-46.11666667,60.96666667],[-46.28333333,60.96666667],[-46.28333333,61.01666667],[-46.33333333,61.01666667],[-46.33333333,61.08333333],[-46.3,61.08333333],[-46.3,61.13333333],[-46.11666667,61.13333333],[-46.11666667,61.21666667]]],[[[-46.15,61.25],[-46.06666667,61.25],[-46.06666667,61.23333333],[-45.98333333,61.23333333],[-45.98333333,61.21666667],[-46.11666667,61.21666667],[-46.11666667,61.13333333],[-46.18333333,61.13333333],[-46.18333333,61.21666667],[-46.15,61.21666667],[-46.15,61.25]]]]}"
MEL 2019-79,9846,Mineral Exploration Licence (MEL),Active License,Anglo American Exploration Overseas Holdings Limited,2019-07-15,2030-12-31,1042.7024,MEL 2019-79,M-96,"{""type"":""MultiPolygon"",""coordinates"":[[[[-52.95,70.71666667],[-53.78333333,70.71666667],[-53.78333333,70.7],[-53.85,70.7],[-53.85,70.66666667],[-53.91666667,70.66666667],[-53.91666667,70.63333333],[-53.98333333,70.63333333],[-53.98333333,70.6],[-53.66666667,70.6],[-53.66666667,70.58333333],[-53.46666667,70.58333333],[-53.46666667,70.53333333],[-52.8,70.53333333],[-52.8,70.31666667],[-52.51666667,70.31666667],[-52.51666667,70.46666667],[-52.63333333,70.46666667],[-52.63333333,70.51666667],[-52.71666667,70.51666667],[-52.71666667,70.75],[-52.76666667,70.75],[-52.76666667,70.76666667],[-52.9,70.76666667],[-52.9,70.71666667],[-52.95,70.71666667]]]]}"
MIN 2025-63,193850,Mining Exploitation Licence (MIN),Active License,Greenland Anorthosite Mining A/S,2025-05-21,2055-05-20,51.54,MIN 2025-63,M-MLSA-422,"{""type"":""MultiPolygon"",""coordinates"":[[[[-50.11666667,63.3],[-49.98333333,63.3],[-49.98333333,63.26666667],[-50.01666667,63.26666667],[-50.01666667,63.25],[-50.06666667,63.25],[-50.06666667,63.23333333],[-50.18333333,63.23333333],[-50.18333333,63.21666667],[-50.2,63.21666667],[-50.2,63.20833333],[-50.23333333,63.20833333],[-50.23333333,63.23333333],[-50.2,63.23333333],[-50.2,63.25],[-50.11666667,63.25],[-50.11666667,63.3]]]]}"
MEL 2017-26,754,Mineral Exploration Licence (MEL),Active License,Zawar Greenland ApS,2017-07-29,2028-12-31,113,MEL 2017-26,M-43,"{""type"":""MultiPolygon"",""coordinates"":[[[[-52.1,70.18333333],[-51.91666667,70.18333333],[-51.91666667,70.15],[-51.9,70.15],[-51.9,70.13333333],[-51.86666667,70.13333333],[-51.86666667,70.11666667],[-51.83333333,70.11666667],[-51.83333333,70.1],[-51.8,70.1],[-51.8,70.08333333],[-51.73333333,70.08333333],[-51.73333333,70.06666667],[-51.68333333,70.06666667],[-51.68333333,70.05],[-51.66666667,70.05],[-51.66666667,70.03333333],[-51.63333333,70.03333333],[-51.63333333,70],[-51.73333333,70],[-51.73333333,70.01666667],[-51.76666667,70.01666667],[-51.76666667,70.03333333],[-51.8,70.03333333],[-51.8,70.05],[-51.85,70.05],[-51.85,70.06666667],[-51.88333333,70.06666667],[-51.88333333,70.08333333],[-51.91666667,70.08333333],[-51.91666667,70.1],[-52,70.1],[-52,70.13333333],[-52.1,70.13333333],[-52.1,70.18333333],[-52.1,70.18333333]]]]}"
MEL 2023-69,167502,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2023-07-25,2027-12-31,198.79,MEL 2023-69,M-MLSA-344,"{""type"":""MultiPolygon"",""coordinates"":[[[[-43.76666667,60.93333333],[-43.71666667,60.93333333],[-43.71666667,60.91666667],[-43.6,60.91666667],[-43.6,60.8],[-43.5,60.8],[-43.5,60.75],[-43.68333333,60.75],[-43.68333333,60.76666667],[-43.73333333,60.76666667],[-43.73333333,60.78333333],[-43.75,60.78333333],[-43.75,60.81666667],[-43.78333333,60.81666667],[-43.78333333,60.91666667],[-43.76666667,60.91666667],[-43.76666667,60.93333333]]]]}"
